Id,Authors,Article Title,Journal Title,Journal Abbreviation,MedlinePgn,Volume,Date,PMID,Book Accession,DOI,Abstract,Publication Type,Query,Topic,Impact Factor > 8,Impact Factor Number
74,"G. Thomson, A. Watson, K. Caldecott, O. Denneny, P. Depledge, N. Hamilton, G. Hopkins, A. Jordan, C. Morrow, A. Raoof, I. Waddell and D. Ogilvie, ",Generation of assays and antibodies to facilitate the study of human 5'-tyrosyl DNA phosphodiesterase.,Analytical biochemistry ,Anal Biochem,145-50,436(2) ,(May. 2013). ,23416181,,DOI 10.1016/j.ab.2013.02.001.,"Topoisomerases regulate DNA topology by the transient cleavage and religation of DNA during transcription and replication. Topoisomerase II (Topo II) poisons such as etoposide can induce abortive DNA strand breaks in which Topo II remains covalently bound to a 5' DNA strand terminus via a phosphotyrosyl linker. Tyrosyl DNA phosphodiesterase 2 (Tdp2) is a recently discovered human 5'-tyrosyl DNA phosphodiesterase that repairs this topoisomerase-mediated DNA damage, thereby playing a central role in maintaining normal DNA topology in cells. Cellular depletion of Tdp2 has been shown to result in increased susceptibility and sensitivity to Topo II-induced DNA double-strand breaks, thereby revealing Tdp2 as a potentially attractive anticancer target. No drug-like inhibitors of Tdp2 have been identified to date, and assays suitable for high-throughput screening (HTS) have not been widely reported. Here we have identified a new and effective chromogenic substrate for Tdp2 and developed a homogeneous and robust HTS assay. A second novel Tdp2 assay was also developed to cross-validate hit matter identified from an HTS. In addition, a new and specific Tdp2 antibody is described. Together, these new tools will aid in the identification of novel Tdp2 inhibitors and the investigation of the role of Tdp2 in cancer.","|Journal Article|Research Support, Non-U.S. Gov't","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,25.832
75,"UM. Polanska and A. Orimo, ",Carcinoma-associated fibroblasts: non-neoplastic tumour-promoting mesenchymal cells.,Journal of cellular physiology ,J Cell Physiol,1651-7,228(8) ,(Aug. 2013). ,23460038,,DOI 10.1002/jcp.24347.,"Cancerous stroma coevolves alongside tumour progression, thereby promoting the malignant conversion of epithelial carcinoma cells. To date, an abundance of data have supported crucial roles of the tumour microenvironment (TME) in providing cancer cells with proliferative, migratory, survival and invasive propensities favouring the processes of tumourigenesis. The cancerous reactive stroma is frequently populated by a large number of myofibroblasts (MFs), which are activated, non-transformed fibroblasts expressing α-smooth muscle actin (α-SMA). MFs together with non-MF cells present in the tumour-associated stroma are collectively referred to as carcinoma-associated fibroblasts (CAFs), one of the major stromal cell types recognised in various human carcinomas. Recruitment of fibroblasts and/or their progenitors to a tumour mass and their subsequent transdifferentiation into MFs, as well as ongoing maintenance of their activated state, are believed to be essential processes facilitating tumour progression. However, the complex networks of signalling pathways mediating the phenotypic conversion into CAFs, as well as those underlying their tumour-promoting interactions with other tumour-constituting cells, have yet to be fully explored. Histopathological confirmation of the presence of large numbers of CAF MFs within TME and their altered gene expression profiles are known to be associated with disease progression and to serve as independent negative prognostic factors for a wide range of tumour types. In this review, we examine the current evidence shedding light on the emerging roles of tumour-promoting CAFs, cells that are pivotal for epithelial cancer development and progression, and discuss the therapeutic potential of targeting these cells.","|Journal Article|Research Support, Non-U.S. Gov't|Review","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,11.846
76,"P. Workman, B. Al-Lazikani and PA. Clarke, ","Genome-based cancer therapeutics: targets, kinase drug resistance and future strategies for precision oncology.",Current opinion in pharmacology ,Curr Opin Pharmacol,486-96,13(4) ,(Aug. 2013). ,23810823,,DOI 10.1016/j.coph.2013.06.004.,"Extraordinary progress has been made in our detailed understanding of the genetic and epigenetic mechanisms responsible for oncogenesis and cancer progression. Empowered by next-generation sequencing, many new targets and pathways have been identified to exploit oncogene and non-oncogene addiction and synthetic lethality. Kinase inhibitors feature strongly in the druggable cancer genome and 19 have been approved in oncology. While survival gains are valuable, drug resistance has emerged as the major challenge. The clonal heterogeneity and evolution of cancers is an intrinsic problem, together with feedback loops, kinase switching and activation of alternative targets and pathways. The solution to drug resistance will require the use of rationally targeted combinational regimens. The application of adaptive treatment cycles based on ongoing multi-technology profiling will be the key to long-term therapeutic success.","|Journal Article|Research Support, Non-U.S. Gov't|Review","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,N,
77,"J. Blagg and P. Workman, ",Chemical biology approaches to target validation in cancer.,Current opinion in pharmacology ,Curr Opin Pharmacol,87-100,17,(Aug. 2014). ,25175311,,DOI 10.1016/j.coph.2014.07.007.,"Target validation is a crucial element of drug discovery. Especially given the wealth of potential targets emerging from cancer genome sequencing and functional genetic screens, and also considering the time and cost of downstream drug discovery efforts, it is essential to build confidence in a proposed target, ideally using different technical approaches. We argue that complementary biological and chemical biology strategies are essential for robust target validation. We discuss recent progress in the discovery and application of high quality chemical tools and other chemical biology approaches to target validation in cancer. Among other topical examples, we highlight the emergence of designed irreversible chemical tools to study potential target proteins and oncogenic pathways that were hitherto regarded as poorly druggable.","|Journal Article|Research Support, Non-U.S. Gov't|Review","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,N,
78,"C. Chan, S. Lang, C. Rowbottom, M. Guckenberger and C. Faivre-Finn, ",Intensity-modulated radiotherapy for lung cancer: current status and future developments.,Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer ,J Thorac Oncol,1598-608,9(11) ,(Nov. 2014). ,25436795,,DOI 10.1097/JTO.0000000000000346.,"Radiotherapy plays an important role in the management of lung cancer, with over 50% of patients receiving this modality at some point during their treatment. Intensity-modulated radiotherapy (IMRT) is a technique that adds fluence modulation to beam shaping, which improves radiotherapy dose conformity around the tumor and spares surrounding normal structures. Treatment with IMRT is becoming more widely available for the treatment of lung cancer, despite the paucity of high level evidence supporting the routine use of this more resource intense and complex technique. In this review article, we have summarized data from planning and clinical studies, discussed challenges in implementing IMRT, and made recommendations on the minimum requirements for safe delivery of IMRT.",|Journal Article|Review,"""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,20.121
79,"X. Huang, GJ. Spencer, JT. Lynch, F. Ciceri, TD. Somerville and TC. Somervaille, ",Enhancers of Polycomb EPC1 and EPC2 sustain the oncogenic potential of MLL leukemia stem cells.,Leukemia ,Leukemia,1081-91,28(5) ,(May. 2014). ,24166297,,DOI 10.1038/leu.2013.316.,"Through a targeted knockdown (KD) screen of chromatin regulatory genes, we identified the EP400 complex components EPC1 and EPC2 as critical oncogenic cofactors in acute myeloid leukemia (AML). EPC1 and EPC2 were required for the clonogenic potential of human AML cells of multiple molecular subtypes. Focusing on MLL-mutated AML as an exemplar, Epc1 or Epc2 KD-induced apoptosis of murine MLL-AF9 AML cells and abolished leukemia stem cell potential. By contrast, normal hematopoietic stem and progenitor cells (HSPC) were spared. Similar selectivity was observed for human primary AML cells versus normal CD34(+) HSPC. In keeping with these distinct functional consequences, Epc1 or Epc2 KD-induced divergent transcriptional consequences in murine MLL-AF9 granulocyte-macrophage progenitor-like (GMP) cells versus normal GMP, with a signature of increased MYC activity in leukemic but not normal cells. This was caused by accumulation of MYC protein and was also observed following KD of other EP400 complex genes. Pharmacological inhibition of MYC:MAX dimerization, or concomitant MYC KD, reduced apoptosis following EPC1 KD, linking the accumulation of MYC to cell death. Therefore, EPC1 and EPC2 are components of a complex that directly or indirectly serves to prevent MYC accumulation and AML cell apoptosis, thus sustaining oncogenic potential.","|Journal Article|Research Support, Non-U.S. Gov't","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,12.883
80,"GA. Whitfield, SR. Kennedy, IK. Djoukhadar and A. Jackson, ",Imaging and target volume delineation in glioma.,Clinical oncology (Royal College of Radiologists (Great Britain)) ,Clin Oncol (R Coll Radiol),364-76,26(7) ,(Jul. 2014). ,24824451,,DOI 10.1016/j.clon.2014.04.026.,"Here we review current practices in target volume delineation for radical radiotherapy planning for gliomas. Current radiotherapy planning margins for glioma are informed by historic data of recurrence patterns using radiological imaging or post-mortem studies. Radiotherapy planning for World Health Organization grade II-IV gliomas currently relies predominantly on T1-weighted contrast-enhanced magnetic resonance imaging (MRI) and T2/fluid-attenuated inversion recovery sequences to identify the gross tumour volume (GTV). Isotropic margins are added empirically for each tumour type, usually without any patient-specific individualisation. We discuss novel imaging techniques that have the potential to influence radiotherapy planning, by improving definition of the tumour extent and its routes of invasion, thus modifying the GTV and allowing anisotropic expansion to a clinical target volume better reflecting areas at risk of recurrence. Identifying the relationships of tumour boundaries to important white matter pathways and eloquent areas of cerebral cortex could lead to reduced normal tissue complications. Novel magnetic resonance approaches to identify tumour extent and invasion include: (i) diffusion-weighted magnetic resonance metrics; (ii) diffusion tensor imaging; and (iii) positron emission tomography, using radiolabelled amino acids methyl-11C-L-methionine and 18F-fluoroethyltyrosine. Novel imaging techniques may also have a role together with clinical characteristics and molecular genetic markers in predicting response to therapy. Most significant among these techniques is dynamic contrast-enhanced MRI, which uses dynamic acquisition of images after injection of intravenous contrast. A number of studies have identified changes in diffusion and microvascular characteristics occurring during the early stages of radiotherapy as powerful predictive biomarkers of outcome.","|Journal Article|Research Support, Non-U.S. Gov't|Review","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,N,
81,"MR. Girotti, G. Saturno, P. Lorigan and R. Marais, ",No longer an untreatable disease: how targeted and immunotherapies have changed the management of melanoma patients.,Molecular oncology ,Mol Oncol,1140-58,8(6) ,(Sep. 2014). ,25178978,,DOI 10.1016/j.molonc.2014.07.027.,"The discovery that BRAF is a driver oncogene in cancer, and complementary improvements in our understanding of the immune system have resulted in new targeted and immune-therapies for metastatic melanoma. Targeted therapies achieve impressive clinical results in carefully selected patients but the development of resistance seems inevitable in most cases. Conversely, immune-checkpoints inhibitors can achieve long-term remission and cures, but in a smaller proportion of patients, and biomarkers to predict which patients will respond are not available. Nevertheless, melanoma has led the evolution of cancer treatment from relatively nonspecific cytotoxic agents to highly selective therapies and here we review the lessons from this paradigm shift in treatment and the opportunities for further improvements in outcomes for melanoma patients.","|Journal Article|Research Support, Non-U.S. Gov't|Review","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,N,
82,"A. Spathis, K. Fife, F. Blackhall, S. Dutton, R. Bahadori, R. Wharton, M. O'Brien, P. Stone, T. Benepal, N. Bates and B. Wee, ","Modafinil for the treatment of fatigue in lung cancer: results of a placebo-controlled, double-blind, randomized trial.",Journal of clinical oncology : official journal of the American Society of Clinical Oncology ,J Clin Oncol,1882-8,32(18) ,(Jun. 2014). ,24778393,,DOI 10.1200/JCO.2013.54.4346.,"Fatigue is a distressing symptom occurring in more than 60% of patients with cancer. The CNS stimulants modafinil and methylphenidate are recommended for the treatment of cancer-related fatigue, despite a limited evidence base. We aimed to evaluate the efficacy and tolerability of modafinil in the management of fatigue in patients with non-small-cell lung cancer (NSCLC).","|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,50.717
83,"KC. Bulusu, JE. Tym, EA. Coker, AC. Schierz and B. Al-Lazikani, ",canSAR: updated cancer research and drug discovery knowledgebase.,Nucleic acids research ,Nucleic Acids Res,D1040-7,42(Database issue) ,(Jan. 2014). ,24304894,,DOI 10.1093/nar/gkt1182.,"canSAR (http://cansar.icr.ac.uk) is a public integrative cancer-focused knowledgebase for the support of cancer translational research and drug discovery. Through the integration of biological, pharmacological, chemical, structural biology and protein network data, it provides a single information portal to answer complex multidisciplinary questions including--among many others--what is known about a protein, in which cancers is it expressed or mutated, and what chemical tools and cell line models can be used to experimentally probe its activity? What is known about a drug, its cellular sensitivity profile and what proteins is it known to bind that may explain unusual bioactivity? Here we describe major enhancements to canSAR including new data, improved search and browsing capabilities and new target, cancer cell line, protein family and 3D structure summaries and tools.","|Journal Article|Research Support, Non-U.S. Gov't","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,11.036
84,"IN. Fleming, R. Manavaki, PJ. Blower, C. West, KJ. Williams, AL. Harris, J. Domarkas, S. Lord, C. Baldry and FJ. Gilbert, ",Imaging tumour hypoxia with positron emission tomography.,British journal of cancer ,Br J Cancer,238-50,112(2) ,(Jan. 2015). ,25514380,,DOI 10.1038/bjc.2014.610.,"Hypoxia, a hallmark of most solid tumours, is a negative prognostic factor due to its association with an aggressive tumour phenotype and therapeutic resistance. Given its prominent role in oncology, accurate detection of hypoxia is important, as it impacts on prognosis and could influence treatment planning. A variety of approaches have been explored over the years for detecting and monitoring changes in hypoxia in tumours, including biological markers and noninvasive imaging techniques. Positron emission tomography (PET) is the preferred method for imaging tumour hypoxia due to its high specificity and sensitivity to probe physiological processes in vivo, as well as the ability to provide information about intracellular oxygenation levels. This review provides an overview of imaging hypoxia with PET, with an emphasis on the advantages and limitations of the currently available hypoxia radiotracers.","|Journal Article|Research Support, Non-U.S. Gov't|Review","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,9.075
85,"A. Lamarca, RA. Hubner, W. David Ryder and JW. Valle, ",Second-line chemotherapy in advanced biliary cancer: a systematic review.,Annals of oncology : official journal of the European Society for Medical Oncology ,Ann Oncol,2328-2338,25(12) ,(Dec. 2014). ,24769639,,DOI 10.1093/annonc/mdu162.,"The randomized NCRN phase III ABC-02 trial provided level-A evidence for first-line chemotherapy with cisplatin and gemcitabine combination in advanced biliary cancer (ABC). This systematic literature review aims to evaluate the level of evidence for the use of second-line chemotherapy for patients with ABC in terms of overall survival (OS), response, toxicity and quality of life. Eligible studies were identified using Medline, ASCO, ESMO and the World Gastrointestinal Congress databases. Searches were last updated on 15 December 2013. Eligible studies reported survival and/or response data for patients with ABC receiving second-line systemic chemotherapy. This systematic review was registered in the PROSPERO database (No. CRD42013004205). Five hundred and fifty-eight studies were identified from the searches in Medline (n = 342), ASCO (n = 160), ESMO (n = 27) and World Gastrointestinal Congress (n = 29). Twenty-five studies were eligible: 14 phase II clinical trials, 9 retrospective analyses and 2 case reports. In total, data from 761 patients were reported with median number of patients included in each study of 22 (range 9-96). The mean OS was 7.2 months [95% confidence interval (CI) 6.2-8.2] [phase II: 6.6 (95% CI 5.1-8.1); retrospective analysis: 7.7 (95% CI 6.5-8.9)]. The mean progression-free survival (PFS), response rate (RR) and disease control rate were 3.2 months (95% CI 2.7-3.7), 7.7% (95% CI 4.6-10.9) and 49.5% (95% CI 41.4-57.7), respectively. The best correlations were between OS and PFS for all studies (r = 0.54; P = 0.01) and between OS and PFS (r = 0.61; P = 0.04) and OS and RR (r = 0.62; P = 0.03) for phase II studies, respectively. Biliary tract cancer is known to be a chemo-responsive disease. There is insufficient evidence (level C) to recommend a second-line chemotherapy schedule in ABC, although the available data suggest that a cohort of patients may benefit. Further prospective and randomized studies are needed to clarify the relative value of second-line chemotherapy in this setting.","|Journal Article|Research Support, Non-U.S. Gov't|Review|Systematic Review","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,51.769
86,"TP. Matthews, AM. Jones and I. Collins, ","Structure-based design, discovery and development of checkpoint kinase inhibitors as potential anticancer therapies.",Expert opinion on drug discovery ,Expert Opin Drug Discov,621-40,8(6) ,(Jun. 2013). ,23594139,,DOI 10.1517/17460441.2013.788496.,"Checkpoint kinase (CHK) inhibitors offer the promise of enhancing the effectiveness of widely prescribed cancer chemotherapies and radiotherapy by inhibiting the DNA damage response, as well as the potential for single agent efficacy.","|Journal Article|Research Support, Non-U.S. Gov't|Review","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,N,
87,"JW. Valle, S. Faivre, RA. Hubner, E. Grande and E. Raymond, ",Practical management of sunitinib toxicities in the treatment of pancreatic neuroendocrine tumors.,Cancer treatment reviews ,Cancer Treat Rev,1230-8,40(10) ,(Dec. 2014). ,25283354,,DOI 10.1016/j.ctrv.2014.09.001.,"Pancreatic neuroendocrine tumors (pNETs) are infrequent malignancies which manifest in both functional (hormone-secreting) and more commonly non-functional (non-secreting) forms. The oral multitargeted tyrosine kinase inhibitor sunitinib and mammalian target of rapamycin (mTOR) inhibitor everolimus are approved as targeted therapies for patients with well-differentiated, non-resectable disease and evidence of disease progression. The recent approval of sunitinib for the management of advanced pNET is based on a continuous daily dosing (CDD) schedule that differs from the intermittent 4weeks on/2weeks off (4/2) schedule approved for sunitinib in advanced renal cell carcinoma (RCC) and imatinib-resistant gastrointestinal stromal tumor (GIST). Therefore, although clinicians may be familiar with therapy management approaches for sunitinib in advanced RCC and GIST, there is less available experience for the management of patients with a CDD schedule. Here, we discuss the similarities and differences in the treatment of pNET with sunitinib compared with advanced RCC and GIST. In particular, we focus on the occurrence and management of sunitinib-related toxicity in patients with pNET by drawing on experience in these other malignancies. We aim to provide a relevant and useful guide for clinicians treating patients with pNET covering the management of events such as fatigue, mucositis, hand-foot syndrome, and hypertension.","|Journal Article|Research Support, Non-U.S. Gov't","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,13.608
88,"R. Jewell, F. Elliott, J. Laye, J. Nsengimana, J. Davies, C. Walker, C. Conway, A. Mitra, M. Harland, MG. Cook, A. Boon, S. Storr, S. Safuan, SG. Martin, K. Jirström, H. Olsson, C. Ingvar, M. Lauss, T. Bishop, G. Jönsson and J. Newton-Bishop, ",The clinicopathological and gene expression patterns associated with ulceration of primary melanoma.,Pigment cell & melanoma research ,Pigment Cell Melanoma Res,94-104,28(1) ,(Jan. 2015). ,25220403,,DOI 10.1111/pcmr.12315.,"Ulceration of primary melanomas is associated with poor prognosis yet is reported to predict benefit from adjuvant interferon. To better understand the biological processes involved, clinicopathological factors associated with ulceration were determined in 1804 patients. From this cohort, 348 primary tumor blocks were sampled to generate gene expression data using a 502-gene cancer panel and 195 blocks were used for immunohistochemistry to detect macrophage infiltration and vessel density. Gene expression results were validated using a whole genome array in two independent sample sets. Ulceration of primary melanomas was associated with more proliferative tumors, tumor vessel invasion, and increased microvessel density. Infiltration of tumors with greater number of macrophages and gene expression pathways associated with wound healing and up-regulation of pro-inflammatory cytokines suggests that ulceration is associated with tumor-related inflammation. The relative benefit from interferon reported in patients with ulcerated tumors may reflect modification of signaling pathways involved in inflammation.","|Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,11.036
89,"JR. Wilkinson, EJ. Morris, A. Downing, PJ. Finan, A. Aravani, JD. Thomas and D. Sebag-Montefiore, ",The rising incidence of anal cancer in England 1990-2010: a population-based study.,Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland ,Colorectal Dis,O234-9,16(7) ,(Jul. 2014). ,24410872,,DOI 10.1111/codi.12553.,"Although anal cancer is rare, its incidence has been reported to be rising in several countries. This study aimed to determine whether there have been any changes in incidence over time in England.","|Journal Article|Research Support, Non-U.S. Gov't","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,N,
90,"JT. Lear, C. Corner, P. Dziewulski, K. Fife, GL. Ross, S. Varma and CA. Harwood, ",Challenges and new horizons in the management of advanced basal cell carcinoma: a UK perspective.,British journal of cancer ,Br J Cancer,1476-81,111(8) ,(Oct. 2014). ,25211660,,DOI 10.1038/bjc.2014.270.,"Basal cell carcinoma (BCC) is a common malignancy with a good prognosis in the majority of cases. However, some BCC patients develop a more advanced disease that poses significant management challenges. Such cases include locally advanced, recurrent or metastatic BCC, or tumours that occur in anatomical sites where surgical treatment would result in significant deformity. Until recently, treatment options for these patients have been limited, but increased understanding of the molecular basis of BCC has enabled potential therapies, such as hedgehog signalling pathway inhibitors, to be developed. A clear definition of advanced BCC as a distinct disease entity and formal management guidelines have not previously been published, presumably because of the rarity, heterogeneity and lack of treatment options available for the disease. Here we provide a UK perspective from a multidisciplinary group of experts involved in the treatment of complex cases of BCC, addressing the key challenges associated with the perceived definition and management of the disease. With new treatments on the horizon, we further propose a definition for advanced BCC that may be used as a guide for healthcare professionals involved in disease diagnosis and management.","|Journal Article|Research Support, Non-U.S. Gov't","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,9.075
91,"T. Illidge, C. Chan, N. Counsell, S. Morris, J. Scarisbrick, D. Gilson, B. Popova, P. Patrick, P. Smith, S. Whittaker and R. Cowan, ",Phase II study of gemcitabine and bexarotene (GEMBEX) in the treatment of cutaneous T-cell lymphoma.,British journal of cancer ,Br J Cancer,2566-73,109(10) ,(Nov. 2013). ,24136145,,DOI 10.1038/bjc.2013.616.,Both gemcitabine and bexarotene are established single agents for the treatment of cutaneous T-cell lymphoma (CTCL). We investigated the feasibility and efficacy of combining these drugs in a single-arm phase II study.,"|Clinical Trial, Phase II|Journal Article|Multicenter Study|Research Support, Non-U.S. Gov't","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,9.075
92,"M. Qu, M. Rappas, CP. Wardlaw, V. Garcia, JY. Ren, M. Day, AM. Carr, AW. Oliver, LL. Du and LH. Pearl, ",Phosphorylation-dependent assembly and coordination of the DNA damage checkpoint apparatus by Rad4(TopBP1).,Molecular cell ,Mol Cell,723-736,51(6) ,(Sep. 2013). ,24074952,,DOI 10.1016/j.molcel.2013.08.030.,"The BRCT-domain protein Rad4(TopBP1) facilitates activation of the DNA damage checkpoint in Schizosaccharomyces pombe by physically coupling the Rad9-Rad1-Hus1 clamp, the Rad3(ATR) -Rad26(ATRIP) kinase complex, and the Crb2(53BP1) mediator. We have now determined crystal structures of the BRCT repeats of Rad4(TopBP1), revealing a distinctive domain architecture, and characterized their phosphorylation-dependent interactions with Rad9 and Crb2(53BP1). We identify a cluster of phosphorylation sites in the N-terminal region of Crb2(53BP1) that mediate interaction with Rad4(TopBP1) and reveal a hierarchical phosphorylation mechanism in which phosphorylation of Crb2(53BP1) residues Thr215 and Thr235 promotes phosphorylation of the noncanonical Thr187 site by scaffolding cyclin-dependent kinase (CDK) recruitment. Finally, we show that the simultaneous interaction of a single Rad4(TopBP1) molecule with both Thr187 phosphorylation sites in a Crb2(53BP1) dimer is essential for establishing the DNA damage checkpoint.","|Journal Article|Research Support, Non-U.S. Gov't","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,19.328
93,"JP. O'Connor, CJ. Rose, JC. Waterton, RA. Carano, GJ. Parker and A. Jackson, ","Imaging intratumor heterogeneity: role in therapy response, resistance, and clinical outcome.",Clinical cancer research : an official journal of the American Association for Cancer Research ,Clin Cancer Res,249-57,21(2) ,(Jan. 2015). ,25421725,,DOI 10.1158/1078-0432.CCR-14-0990.,"Tumors exhibit genomic and phenotypic heterogeneity, which has prognostic significance and may influence response to therapy. Imaging can quantify the spatial variation in architecture and function of individual tumors through quantifying basic biophysical parameters such as CT density or MRI signal relaxation rate; through measurements of blood flow, hypoxia, metabolism, cell death, and other phenotypic features; and through mapping the spatial distribution of biochemical pathways and cell signaling networks using PET, MRI, and other emerging molecular imaging techniques. These methods can establish whether one tumor is more or less heterogeneous than another and can identify subregions with differing biology. In this article, we review the image analysis methods currently used to quantify spatial heterogeneity within tumors. We discuss how analysis of intratumor heterogeneity can provide benefit over more simple biomarkers such as tumor size and average function. We consider how imaging methods can be integrated with genomic and pathology data, instead of being developed in isolation. Finally, we identify the challenges that must be overcome before measurements of intratumoral heterogeneity can be used routinely to guide patient care.","|Journal Article|Research Support, Non-U.S. Gov't|Review","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,11.036
95,"F. Cardenal, E. Nadal, M. Jové and C. Faivre-Finn, ",Concurrent systemic therapy with radiotherapy for the treatment of poor-risk patients with unresectable stage III non-small-cell lung cancer: a review of the literature.,Annals of oncology : official journal of the European Society for Medical Oncology ,Ann Oncol,278-88,26(2) ,(Feb. 2015). ,24942274,,DOI 10.1093/annonc/mdu229.,"There is no consensus on the therapeutic approach to poor-risk patients with unresectable stage III non-small-cell lung cancer (NSCLC), despite the increasing number of these patients in current clinical practice. In terms of survival, the combination of concurrent systemic therapy with standard radiotherapy might be advantageous over radiotherapy alone. The purpose of this review is to ascertain the feasibility, safety and efficacy of the combination of concurrent systemic therapy and standard radiotherapy in these patients.","|Journal Article|Research Support, Non-U.S. Gov't|Review","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,51.769
96,"C. Hughes, M. Brown, G. Clemens, A. Henderson, G. Monjardez, NW. Clarke and P. Gardner, ",Assessing the challenges of Fourier transform infrared spectroscopic analysis of blood serum.,Journal of biophotonics ,J Biophotonics,180-8,7(3-4) ,(Apr. 2014). ,24488587,,DOI 10.1002/jbio.201300167.,"There are many approaches to measuring the infrared spectrum of a blood serum sample. Naturally, each approach will have both advantages and disadvantages. We report on the progress of the application of infrared spectroscopy in the field of blood serum analysis towards clinical application, with a focus on prostate cancer. In order to perform a high-powered study with clinical relevance, choosing the most suitable approach must undergo careful consideration. We review the possibilities of using different sample preparation methods and speculate upon the potential pitfalls of both transmission and attenuated total reflectance (ATR) techniques.","|Journal Article|Research Support, Non-U.S. Gov't","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,N,
